stateFP,stateName,state1970,state1980,state1990,state2000,state2010,countyFP,countyName,county1970,county1980,county1990,county2000,county2010,placeFP,placeName,place1970,place1980,place1990,place2000,place2010,placeID,countyID
1,Alabama,3444165,3893888,4040587,4447100,4779736,1,Autauga County,24460,32259,34222,43671,54571,3220,Autaugaville Town,0,843,681,820,870,1-3220,1-1
1,Alabama,3444165,3893888,4040587,4447100,4779736,1,Autauga County,24460,32259,34222,43671,54571,6460,Billingsley Town,0,106,150,116,144,1-6460,1-1
1,Alabama,3444165,3893888,4040587,4447100,4779736,1,Autauga County,24460,32259,34222,43671,54571,46600,Marbury CDP,0,0,0,0,1418,1-46600,1-1
1,Alabama,3444165,3893888,4040587,4447100,4779736,1,Autauga County,24460,32259,34222,43671,54571,48712,Millbrook City,0,3101,6050,10386,14640,1-48712,1-1
1,Alabama,3444165,3893888,4040587,4447100,4779736,1,Autauga County,24460,32259,34222,43671,54571,60264,Pine Level CDP,0,0,0,0,4183,1-60264,1-1
1,Alabama,3444165,3893888,4040587,4447100,4779736,1,Autauga County,24460,32259,34222,43671,54571,62328,Prattville City,13116,18647,19587,24303,33960,1-62328,1-1
1,Alabama,3444165,3893888,4040587,4447100,4779736,3,Baldwin County,59382,78556,98280,140415,182265,4660,Bay Minette City,6727,7455,7168,7820,8044,1-4660,1-3
1,Alabama,3444165,3893888,4040587,4447100,4779736,3,Baldwin County,59382,78556,98280,140415,182265,19648,Daphne City,0,3406,11290,16581,21570,1-19648,1-3
1,Alabama,3444165,3893888,4040587,4447100,4779736,3,Baldwin County,59382,78556,98280,140415,182265,23320,Elberta Town,0,491,458,552,1498,1-23320,1-3
1,Alabama,3444165,3893888,4040587,4447100,4779736,3,Baldwin County,59382,78556,98280,140415,182265,25240,Fairhope City,5720,7286,8485,12480,15326,1-25240,1-3
1,Alabama,3444165,3893888,4040587,4447100,4779736,3,Baldwin County,59382,78556,98280,140415,182265,26992,Foley City,3368,4003,4937,7590,14618,1-26992,1-3
